"time","co2","trialnum"
1890,286.58545773319133,1
1891,286.7637497070128,1
1892,286.9457516966355,1
1893,287.1297258310965,1
1894,287.3136506401609,1
1895,287.50107751970853,1
1896,287.69743090638144,1
1897,287.89803661077207,1
1898,288.10153471360263,1
1899,288.3098146931039,1
1900,288.5264702651741,1
1901,288.7512411676389,1
1902,288.99231441428526,1
1903,289.2455910145324,1
1904,289.5064271715937,1
1905,289.7770543513479,1
1906,290.0585426495545,1
1907,290.36017007909857,1
1908,290.6855533078688,1
1909,291.0156135324836,1
1910,291.3402710380876,1
1911,291.67396420167796,1
1912,291.99973637459414,1
1913,292.30929926661133,1
1914,292.6193402540006,1
1915,292.9120193286623,1
1916,293.18224830587485,1
1917,293.4660237099772,1
1918,293.7699268172297,1
1919,294.07525821263573,1
1920,294.35463403754204,1
1921,294.6394223440544,1
1922,294.93536189088996,1
1923,295.2228767489793,1
1924,295.54132034858384,1
1925,295.8806794811176,1
1926,296.2182977441876,1
1927,296.55178636493537,1
1928,296.90820909789363,1
1929,297.28699023306706,1
1930,297.67811640241155,1
1931,298.0784470491725,1
1932,298.4486783703982,1
1933,298.7585192976067,1
1934,299.04361252281683,1
1935,299.356791542264,1
1936,299.692542229342,1
1937,300.055962716447,1
1938,300.44579018776295,1
1939,300.82374227747505,1
1940,301.19673569423213,1
1941,301.5979048921928,1
1942,302.0096053107311,1
1943,302.4184069034329,1
1944,302.83280151579316,1
1945,303.24620813895604,1
1946,303.60931930729674,1
1947,303.9740509436947,1
1948,304.4192019211201,1
1949,304.91041867215904,1
1950,305.4021500425963,1
1951,305.918103567917,1
1952,306.5304599724022,1
1953,307.199179908199,1
1954,307.8624669406498,1
1955,308.5370477221638,1
1956,309.2620400483367,1
1957,310.0551088745179,1
1958,310.8891056586041,1
1959,311.748476466527,1
1960,312.6261409971338,1
1961,313.5191957915969,1
1962,314.43041128544013,1
1963,315.3559889772947,1
1964,316.30355328148426,1
1965,317.2727790453472,1
1966,318.27402099215004,1
1967,319.32649340499495,1
1968,320.4313428730797,1
1969,321.5818748741155,1
1970,322.7873461645562,1
1971,324.0654250098064,1
1972,325.3742070367969,1
1973,326.6862291776539,1
1974,328.0519956437911,1
1975,329.43223079786424,1
1976,330.76774369019665,1
1977,332.138403693279,1
1978,333.59094214548884,1
1979,335.09692523701267,1
1980,336.6337023995942,1
1981,338.1468248395323,1
1982,339.59808833701214,1
1983,340.9987015494459,1
1984,342.40138706038294,1
1985,343.84810328472884,1
1986,345.33317609275923,1
1987,346.8613218606898,1
1988,348.43971877243627,1
1989,350.07662035098645,1
1990,351.7592293634897,1
1991,353.42082607778474,1
1992,355.07678027426584,1
1993,356.71577704857066,1
1994,358.2672751599097,1
1995,359.79211785972257,1
1996,361.3791382094696,1
1997,363.04515819791334,1
1998,364.9129218433702,1
1999,366.79041673836764,1
2000,368.47692403186403,1
2001,370.16470692866045,1
2002,371.8463686787609,1
2003,373.54383063473654,1
2004,375.3230076299483,1
2005,377.2322795563035,1
2006,379.2836486334014,1
2007,381.42411675777055,1
2008,383.6366855412533,1
2009,385.7977314927449,1
2010,387.8668902688104,1
2011,390.0283213032531,1
2012,392.35457526527455,1
2013,394.75759386644324,1
2014,397.2176665455049,1
2015,399.74752866902656,1
2016,402.268219963505,1
2017,404.7529306986245,1
2018,407.2573949054564,1
2019,409.7821392253171,1
2020,412.32710376214163,1
2021,414.8916629653839,1
2022,417.4839158485483,1
2023,420.11102896392225,1
2024,422.77027137880305,1
2025,425.4588987414271,1
2026,428.1738418101329,1
2027,430.91159420058676,1
2028,433.66916763706627,1
2029,436.44478067244256,1
2030,439.23727018287,1
2031,442.0459590859888,1
2032,444.87366597555274,1
2033,447.72317080512755,1
2034,450.594241934811,1
2035,453.48698821404844,1
2036,456.400998267541,1
2037,459.33958212087583,1
2038,462.30505224960393,1
2039,465.2944581047178,1
2040,468.3051538453642,1
2041,471.33462884273257,1
2042,474.37123459700723,1
2043,477.40487000514673,1
2044,480.4361243844061,1
2045,483.4655479134633,1
2046,486.4937632161842,1
2047,489.52111129743014,1
2048,492.547226031136,1
2049,495.57099295810906,1
2050,498.5901970239402,1
2051,501.6018527765277,1
2052,504.60356881531925,1
2053,507.59391938266117,1
2054,510.5718750584588,1
2055,513.536875525203,1
2056,516.488986586292,1
2057,519.4267316698646,1
2058,522.3481653411361,1
2059,525.2523990565112,1
2060,528.1383216472552,1
2061,531.0046147180251,1
